Id,SleepDay,DateOnly,WeekDay,TotalMinutesAsleep,TotalTimeInBed
1503960366,4/12/16 12:00 AM,4/12/2016,Tuesday,327.00,346.00
1503960366,4/13/16 12:00 AM,4/13/2016,Wednesday,384.00,407.00
1503960366,4/15/16 12:00 AM,4/15/2016,Friday,412.00,442.00
1503960366,4/16/16 12:00 AM,4/16/2016,Saturday,340.00,367.00
1503960366,4/17/16 12:00 AM,4/17/2016,Sunday,700.00,712.00
1503960366,4/19/16 12:00 AM,4/19/2016,Tuesday,304.00,320.00
1503960366,4/20/16 12:00 AM,4/20/2016,Wednesday,360.00,377.00
1503960366,4/21/16 12:00 AM,4/21/2016,Thursday,325.00,364.00
1503960366,4/23/16 12:00 AM,4/23/2016,Saturday,361.00,384.00
1503960366,4/24/16 12:00 AM,4/24/2016,Sunday,430.00,449.00
1503960366,4/25/16 12:00 AM,4/25/2016,Monday,277.00,323.00
1503960366,4/26/16 12:00 AM,4/26/2016,Tuesday,245.00,274.00
1503960366,4/28/16 12:00 AM,4/28/2016,Thursday,366.00,393.00
1503960366,4/29/16 12:00 AM,4/29/2016,Friday,341.00,354.00
1503960366,4/30/16 12:00 AM,4/30/2016,Saturday,404.00,425.00
1503960366,5/1/16 12:00 AM,5/1/2016,Sunday,369.00,396.00
1503960366,5/2/16 12:00 AM,5/2/2016,Monday,277.00,309.00
1503960366,5/3/16 12:00 AM,5/3/2016,Tuesday,273.00,296.00
1503960366,5/5/16 12:00 AM,5/5/2016,Thursday,247.00,264.00
1503960366,5/6/16 12:00 AM,5/6/2016,Friday,334.00,367.00
1503960366,5/7/16 12:00 AM,5/7/2016,Saturday,331.00,349.00
1503960366,5/8/16 12:00 AM,5/8/2016,Sunday,594.00,611.00
1503960366,5/9/16 12:00 AM,5/9/2016,Monday,338.00,342.00
1503960366,5/10/16 12:00 AM,5/10/2016,Tuesday,383.00,403.00
1503960366,5/11/16 12:00 AM,5/11/2016,Wednesday,285.00,306.00
1644430081,4/29/16 12:00 AM,4/29/2016,Friday,119.00,127.00
1644430081,4/30/16 12:00 AM,4/30/2016,Saturday,124.00,142.00
1644430081,5/2/16 12:00 AM,5/2/2016,Monday,796.00,961.00
1644430081,5/8/16 12:00 AM,5/8/2016,Sunday,137.00,154.00
1844505072,4/15/16 12:00 AM,4/15/2016,Friday,644.00,961.00
1844505072,4/30/16 12:00 AM,4/30/2016,Saturday,722.00,961.00
1844505072,5/1/16 12:00 AM,5/1/2016,Sunday,590.00,961.00
1927972279,4/12/16 12:00 AM,4/12/2016,Tuesday,750.00,775.00
1927972279,4/13/16 12:00 AM,4/13/2016,Wednesday,398.00,422.00
1927972279,4/15/16 12:00 AM,4/15/2016,Friday,475.00,499.00
1927972279,4/26/16 12:00 AM,4/26/2016,Tuesday,296.00,315.00
1927972279,4/28/16 12:00 AM,4/28/2016,Thursday,166.00,178.00
2026352035,4/12/16 12:00 AM,4/12/2016,Tuesday,503.00,546.00
2026352035,4/13/16 12:00 AM,4/13/2016,Wednesday,531.00,565.00
2026352035,4/14/16 12:00 AM,4/14/2016,Thursday,545.00,568.00
2026352035,4/15/16 12:00 AM,4/15/2016,Friday,523.00,573.00
2026352035,4/16/16 12:00 AM,4/16/2016,Saturday,524.00,567.00
2026352035,4/17/16 12:00 AM,4/17/2016,Sunday,437.00,498.00
2026352035,4/19/16 12:00 AM,4/19/2016,Tuesday,498.00,540.00
2026352035,4/20/16 12:00 AM,4/20/2016,Wednesday,461.00,510.00
2026352035,4/21/16 12:00 AM,4/21/2016,Thursday,477.00,514.00
2026352035,4/22/16 12:00 AM,4/22/2016,Friday,520.00,545.00
2026352035,4/23/16 12:00 AM,4/23/2016,Saturday,522.00,554.00
2026352035,4/24/16 12:00 AM,4/24/2016,Sunday,555.00,591.00
2026352035,4/25/16 12:00 AM,4/25/2016,Monday,506.00,531.00
2026352035,4/27/16 12:00 AM,4/27/2016,Wednesday,508.00,545.00
2026352035,4/28/16 12:00 AM,4/28/2016,Thursday,513.00,545.00
